#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
60,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
61,Diglett,Ground,None,265,10,55,25,35,45,95,1,False
62,Dugtrio,Ground,None,405,35,80,50,50,70,120,1,False
63,Meowth,Normal,None,290,40,45,35,40,40,90,1,False
64,Persian,Normal,None,440,65,70,60,65,65,115,1,False
65,Psyduck,Water,None,320,50,52,48,65,50,55,1,False
66,Golduck,Water,None,500,80,82,78,95,80,85,1,False
67,Mankey,Fighting,None,305,40,80,35,35,45,70,1,False
68,Primeape,Fighting,None,455,65,105,60,60,70,95,1,False
69,Growlithe,Fire,None,350,55,70,45,70,50,60,1,False
70,Arcanine,Fire,None,555,90,110,80,100,80,95,1,False
71,Poliwag,Water,None,300,40,50,40,40,40,90,1,False
72,Poliwhirl,Water,None,385,65,65,65,50,50,90,1,False
73,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
74,Politoed,Water,None,500,90,75,75,90,100,70,2,False
75,Abra,Psychic,None,310,25,20,15,105,55,90,1,False
76,Kadabra,Psychic,None,400,40,35,30,120,70,105,1,False
77,Alakazam,Psychic,None,500,55,50,45,135,95,120,1,False
78,AlakazamMega Alakazam,Psychic,None,590,55,50,65,175,95,150,1,False
79,Machop,Fighting,None,305,70,80,50,35,35,35,1,False
80,Machoke,Fighting,None,405,80,100,70,50,60,45,1,False
81,Machamp,Fighting,None,505,90,130,80,65,85,55,1,False
82,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False
83,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
84,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False
85,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
86,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False
87,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False
88,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
89,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
90,Ponyta,Fire,None,410,50,85,55,65,65,90,1,False
91,Rapidash,Fire,None,500,65,100,70,80,80,105,1,False
92,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
93,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
94,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False
95,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False
96,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
97,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False
98,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,False
99,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
100,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False
101,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
102,Seel,Water,None,325,65,45,55,45,70,45,1,False
103,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
104,Grimer,Poison,None,325,80,80,50,40,50,25,1,False
105,Muk,Poison,None,500,105,105,75,65,100,50,1,False
106,Shellder,Water,None,305,30,65,100,45,25,40,1,False
107,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
108,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False
109,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False
110,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
111,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False
112,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False
113,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False
114,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
115,Drowzee,Psychic,None,328,60,48,45,43,90,42,1,False
116,Hypno,Psychic,None,483,85,73,70,73,115,67,1,False
117,Krabby,Water,None,325,30,105,90,25,25,50,1,False
118,Kingler,Water,None,475,55,130,115,50,50,75,1,False
119,Voltorb,Electric,None,330,40,30,50,55,55,100,1,False
120,Electrode,Electric,None,480,60,50,70,80,80,140,1,False
121,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
122,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False
123,Cubone,Ground,None,320,50,50,95,40,50,35,1,False
124,Marowak,Ground,None,425,60,80,110,50,80,45,1,False
125,Hitmonlee,Fighting,None,455,50,120,53,35,110,87,1,False
126,Hitmonchan,Fighting,None,455,50,105,79,35,110,76,1,False
127,Tyrogue,Fighting,None,210,35,35,35,35,35,35,2,False
128,Hitmontop,Fighting,None,455,50,95,95,35,110,70,2,False
129,Lickitung,Normal,None,385,90,55,75,60,75,30,1,False
130,Lickilicky,Normal,None,515,110,85,95,80,95,50,4,False
131,Koffing,Poison,None,340,40,65,95,60,45,35,1,False
132,Weezing,Poison,None,490,65,90,120,85,70,60,1,False
133,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
134,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
135,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,False
136,Chansey,Normal,None,450,250,5,5,35,105,50,1,False
137,Happiny,Normal,None,220,100,5,5,15,65,30,4,False
138,Blissey,Normal,None,540,255,10,10,75,135,55,2,False
139,Tangela,Grass,None,435,65,55,115,100,40,60,1,False
140,Tangrowth,Grass,None,535,100,100,125,110,50,50,4,False
141,Kangaskhan,Normal,None,490,105,95,80,40,80,90,1,False
142,KangaskhanMega Kangaskhan,Normal,None,590,105,125,100,60,100,100,1,False
143,Horsea,Water,None,295,30,40,70,70,25,60,1,False
144,Seadra,Water,None,440,55,65,95,95,45,85,1,False
145,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False
146,Goldeen,Water,None,320,45,67,60,35,50,63,1,False
147,Seaking,Water,None,450,80,92,65,65,80,68,1,False
148,Staryu,Water,None,340,30,45,55,70,55,85,1,False
149,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
150,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False
151,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,False
152,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
153,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
154,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False
155,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
156,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False
157,Electabuzz,Electric,None,490,65,83,57,95,85,105,1,False
158,Elekid,Electric,None,360,45,63,37,65,55,95,2,False
159,Electivire,Electric,None,540,75,123,67,95,85,95,4,False
160,Magmar,Fire,None,495,65,95,57,100,85,93,1,False
161,Magby,Fire,None,365,45,75,37,70,55,83,2,False
162,Magmortar,Fire,None,540,75,95,67,125,95,83,4,False
163,Pinsir,Bug,None,500,65,125,100,55,70,85,1,False
164,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False
165,Tauros,Normal,None,490,75,100,95,40,70,110,1,False
166,Magikarp,Water,None,200,20,10,55,15,20,80,1,False
167,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
168,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False
169,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
170,Ditto,Normal,None,288,48,48,48,48,48,48,1,False
171,Eevee,Normal,None,325,55,55,50,45,65,55,1,False
172,Vaporeon,Water,None,525,130,65,60,110,95,65,1,False
173,Jolteon,Electric,None,525,65,65,60,110,95,130,1,False
174,Flareon,Fire,None,525,65,130,60,95,110,65,1,False
175,Espeon,Psychic,None,525,65,65,60,130,95,110,2,False
176,Umbreon,Dark,None,525,95,65,110,60,130,65,2,False
177,Leafeon,Grass,None,525,65,110,130,60,65,95,4,False
178,Glaceon,Ice,None,525,65,60,110,130,95,65,4,False
179,Sylveon,Fairy,None,525,95,65,65,110,130,60,6,False
180,Porygon,Normal,None,395,65,60,70,85,75,40,1,False
181,Porygon2,Normal,None,515,85,80,90,105,95,60,2,False
182,Porygon-Z,Normal,None,535,85,80,70,135,75,90,4,False
183,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False
184,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
185,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
186,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
187,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
188,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False
189,Snorlax,Normal,None,540,160,110,65,65,110,30,1,False
190,Munchlax,Normal,None,390,135,85,40,40,85,5,4,False
191,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
192,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
193,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
194,Dratini,Dragon,None,300,41,64,45,50,50,50,1,False
195,Dragonair,Dragon,None,420,61,84,65,70,70,70,1,False
196,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False
197,Mewtwo,Psychic,None,680,106,110,90,154,90,130,1,True
198,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True
199,MewtwoMega Mewtwo Y,Psychic,None,780,106,150,70,194,120,140,1,True
200,Mew,Psychic,None,600,100,100,100,100,100,100,1,False
201,Chikorita,Grass,None,318,45,49,65,49,65,45,2,False
202,Bayleef,Grass,None,405,60,62,80,63,80,60,2,False
203,Meganium,Grass,None,525,80,82,100,83,100,80,2,False
204,Cyndaquil,Fire,None,309,39,52,43,60,50,65,2,False
205,Quilava,Fire,None,405,58,64,58,80,65,80,2,False
206,Typhlosion,Fire,None,534,78,84,78,109,85,100,2,False
207,Totodile,Water,None,314,50,65,64,44,48,43,2,False
208,Croconaw,Water,None,405,65,80,80,59,63,58,2,False
209,Feraligatr,Water,None,530,85,105,100,79,83,78,2,False
210,Sentret,Normal,None,215,35,46,34,35,45,20,2,False
211,Furret,Normal,None,415,85,76,64,45,55,90,2,False
212,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False
213,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False
214,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False
215,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False
216,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False
217,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False
218,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
219,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False
220,Togepi,Fairy,None,245,35,20,65,40,65,20,2,False
221,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False
222,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,False
223,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False
224,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False
225,Mareep,Electric,None,280,55,40,40,65,45,35,2,False
226,Flaaffy,Electric,None,365,70,55,55,80,60,45,2,False
227,Ampharos,Electric,None,510,90,75,85,115,90,55,2,False
228,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
229,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False
230,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False
231,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False
232,Sudowoodo,Rock,None,410,70,100,115,30,65,30,2,False
233,Bonsly,Rock,None,290,50,80,95,10,45,10,4,False
234,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False
235,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
236,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
237,Aipom,Normal,None,360,55,70,55,40,55,85,2,False
238,Ambipom,Normal,None,482,75,100,66,60,66,115,4,False
239,Sunkern,Grass,None,180,30,30,30,30,30,30,2,False
240,Sunflora,Grass,None,425,75,75,55,105,85,30,2,False
241,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
242,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,False
243,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False
244,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False
245,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False
246,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False
247,Misdreavus,Ghost,None,435,60,60,60,85,85,85,2,False
248,Mismagius,Ghost,None,495,60,60,60,105,105,105,4,False
249,Unown,Psychic,None,336,48,72,48,72,48,48,2,False
250,Wobbuffet,Psychic,None,405,190,33,58,33,58,33,2,False
251,Wynaut,Psychic,None,260,95,23,48,23,48,23,3,False
252,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False
253,Pineco,Bug,None,290,50,65,90,35,35,15,2,False
254,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False
255,Dunsparce,Normal,None,415,100,70,70,65,65,45,2,False
256,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False
257,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,False
258,Snubbull,Fairy,None,300,60,80,50,40,40,30,2,False
259,Granbull,Fairy,None,450,90,120,75,60,60,45,2,False
260,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False
261,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
262,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False
263,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
264,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False
265,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False
266,Teddiursa,Normal,None,330,60,80,50,50,50,40,2,False
267,Ursaring,Normal,None,500,90,130,75,75,75,55,2,False
268,Slugma,Fire,None,250,40,40,40,70,40,20,2,False
269,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False
270,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False
271,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False
272,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,False
273,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False
274,Remoraid,Water,None,300,35,65,35,65,35,65,2,False
275,Octillery,Water,None,480,75,105,75,105,75,45,2,False
276,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False
277,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False
278,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False
279,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False
280,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False
281,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False
282,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False
283,Phanpy,Ground,None,330,90,60,60,40,40,40,2,False
284,Donphan,Ground,None,500,90,120,120,60,60,50,2,False
285,Stantler,Normal,None,465,73,95,62,85,65,85,2,False
286,Smeargle,Normal,None,250,55,20,35,20,45,75,2,False
287,Miltank,Normal,None,490,95,80,105,40,70,100,2,False
288,Raikou,Electric,None,580,90,85,75,115,100,115,2,True
289,Entei,Fire,None,580,115,115,85,90,75,100,2,True
290,Suicune,Water,None,580,100,75,115,90,115,85,2,True
291,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False
292,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False
293,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False
294,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
295,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True
296,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True
297,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False
298,Treecko,Grass,None,310,40,45,35,65,55,70,3,False
299,Grovyle,Grass,None,405,50,65,45,85,65,95,3,False
300,Sceptile,Grass,None,530,70,85,65,105,85,120,3,False
301,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
302,Torchic,Fire,None,310,45,60,40,70,50,45,3,False
303,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False
304,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False
305,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False
306,Mudkip,Water,None,310,50,70,50,50,50,40,3,False
307,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False
308,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False
309,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False
310,Poochyena,Dark,None,220,35,55,35,30,30,35,3,False
311,Mightyena,Dark,None,420,70,90,70,60,60,70,3,False
312,Zigzagoon,Normal,None,240,38,30,41,30,41,60,3,False
313,Linoone,Normal,None,420,78,70,61,50,61,100,3,False
314,Wurmple,Bug,None,195,45,45,35,20,30,20,3,False
315,Silcoon,Bug,None,205,50,35,55,25,25,15,3,False
316,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False
317,Cascoon,Bug,None,205,50,35,55,25,25,15,3,False
318,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False
319,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False
320,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False
321,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False
322,Seedot,Grass,None,220,40,40,50,30,30,30,3,False
323,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False
324,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False
325,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False
326,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
327,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False
328,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False
329,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False
330,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False
331,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False
332,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,False
333,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False
334,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False
335,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False
336,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False
337,Shroomish,Grass,None,295,60,40,60,40,60,35,3,False
338,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False
339,Slakoth,Normal,None,280,60,60,60,35,35,30,3,False
340,Vigoroth,Normal,None,440,80,80,80,55,55,90,3,False
341,Slaking,Normal,None,670,150,160,100,95,65,100,3,False
342,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False
343,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False
344,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False
345,Whismur,Normal,None,240,64,51,23,51,23,28,3,False
346,Loudred,Normal,None,360,84,71,43,71,43,48,3,False
347,Exploud,Normal,None,490,104,91,63,91,73,68,3,False
348,Makuhita,Fighting,None,237,72,60,30,20,30,25,3,False
349,Hariyama,Fighting,None,474,144,120,60,40,60,50,3,False
350,Skitty,Normal,None,260,50,45,45,35,35,50,3,False
351,Delcatty,Normal,None,380,70,65,65,55,55,70,3,False
352,Nosepass,Rock,None,375,30,45,135,45,90,30,3,False
353,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,False
354,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False
355,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False
356,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False
357,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,False
358,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False
359,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False
360,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False
361,AggronMega Aggron,Steel,None,630,70,140,230,60,80,50,3,False
362,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False
363,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False
364,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False
365,Electrike,Electric,None,295,40,45,40,65,40,65,3,False
366,Manectric,Electric,None,475,70,75,60,105,60,105,3,False
367,ManectricMega Manectric,Electric,None,575,70,75,80,135,80,135,3,False
368,Plusle,Electric,None,405,60,50,40,85,75,95,3,False
369,Minun,Electric,None,405,60,40,50,75,85,95,3,False
370,Volbeat,Bug,None,400,65,73,55,47,75,85,3,False
371,Illumise,Bug,None,400,65,47,55,73,75,85,3,False
372,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False
373,Gulpin,Poison,None,302,70,43,53,43,53,40,3,False
374,Swalot,Poison,None,467,100,73,83,73,83,55,3,False
375,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False
376,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False
377,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False
378,Wailmer,Water,None,400,130,70,35,70,35,60,3,False
379,Wailord,Water,None,500,170,90,45,90,45,60,3,False
380,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False
381,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False
382,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False
383,Torkoal,Fire,None,470,70,85,140,85,70,20,3,False
384,Spoink,Psychic,None,330,60,25,35,70,80,60,3,False
385,Grumpig,Psychic,None,470,80,45,65,90,110,80,3,False
386,Spinda,Normal,None,360,60,60,60,60,60,60,3,False
387,Trapinch,Ground,None,290,45,100,45,45,45,10,3,False
388,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False
389,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False
390,Cacnea,Grass,None,335,50,85,40,85,40,35,3,False
391,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False
392,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False
393,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False
394,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False
395,Zangoose,Normal,None,458,73,115,60,60,60,90,3,False
396,Seviper,Poison,None,458,73,100,60,100,60,65,3,False
397,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False
398,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False
399,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False
400,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
401,Corphish,Water,None,308,43,80,65,50,35,35,3,False
402,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False
403,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False
404,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False
405,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False
406,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False
407,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False
408,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False
409,Feebas,Water,None,200,20,15,20,10,55,80,3,False
410,Milotic,Water,None,540,95,60,79,100,125,81,3,False
411,Castform,Normal,None,420,70,70,70,70,70,70,3,False
412,Kecleon,Normal,None,440,60,90,70,60,120,40,3,False
413,Shuppet,Ghost,None,295,44,75,35,63,33,45,3,False
414,Banette,Ghost,None,455,64,115,65,83,63,65,3,False
415,BanetteMega Banette,Ghost,None,555,64,165,75,93,83,75,3,False
416,Duskull,Ghost,None,295,20,40,90,30,90,25,3,False
